From vertex 0:
To vertex 1:23 (0,21,29,1)
To vertex 2:19 (0,21,23,2)
To vertex 3:30 (0,21,30,3)
To vertex 4:15 (0,4)
To vertex 5:22 (0,21,29,8,28,5)
To vertex 6:15 (0,4,6)
To vertex 7:24 (0,21,29,8,28,5,7)
To vertex 8:16 (0,21,29,8)
To vertex 9:15 (0,21,16,9)
To vertex 10:34 (0,21,29,8,28,5,10)
To vertex 11:18 (0,21,30,11)
To vertex 12:21 (0,21,29,8,28,12)
To vertex 13:16 (0,21,29,8,13)
To vertex 14:34 (0,4,6,14)
To vertex 15:20 (0,4,6,15)
To vertex 16:10 (0,21,16)
To vertex 17:28 (0,21,16,9,17)
To vertex 18:23 (0,21,30,11,24,19,31,20,22,18)
To vertex 19:24 (0,21,30,11,24,19)
To vertex 20:27 (0,21,30,11,24,19,31,20)
To vertex 21:4 (0,21)
To vertex 22:27 (0,21,30,11,24,19,31,20,22)
To vertex 23:8 (0,21,23)
To vertex 24:16 (0,21,30,11,24)
To vertex 25:28 (0,21,29,8,25)
To vertex 26:23 (0,21,29,8,28,5,26)
To vertex 27:20 (0,21,30,27)
To vertex 28:20 (0,21,29,8,28)
To vertex 29:10 (0,21,29)
To vertex 30:14 (0,21,30)
To vertex 31:20 (0,21,30,11,24,19,31)
From vertex 1:
To vertex 0:20 (1,20,0)
To vertex 2:14 (1,2)
To vertex 3:23 (1,20,22,3)
To vertex 4:17 (1,20,22,18,4)
To vertex 5:23 (1,5)
To vertex 6:17 (1,20,22,18,4,6)
To vertex 7:25 (1,5,7)
To vertex 8:23 (1,21,29,8)
To vertex 9:17 (1,16,9)
To vertex 10:26 (1,10)
To vertex 11:16 (1,2,11)
To vertex 12:25 (1,16,12)
To vertex 13:23 (1,21,29,8,13)
To vertex 14:36 (1,20,22,18,4,6,14)
To vertex 15:21 (1,5,15)
To vertex 16:12 (1,16)
To vertex 17:29 (1,20,22,17)
To vertex 18:13 (1,20,22,18)
To vertex 19:22 (1,2,11,24,19)
To vertex 20:17 (1,20)
To vertex 21:11 (1,21)
To vertex 22:17 (1,20,22)
To vertex 23:15 (1,21,23)
To vertex 24:14 (1,2,11,24)
To vertex 25:25 (1,25)
To vertex 26:24 (1,2,11,24,19,26)
To vertex 27:23 (1,20,22,27)
To vertex 28:27 (1,21,29,8,28)
To vertex 29:17 (1,21,29)
To vertex 30:21 (1,21,30)
To vertex 31:17 (1,31)
From vertex 2:
To vertex 0:14 (2,11,24,19,31,20,0)
To vertex 1:27 (2,11,24,1)
To vertex 3:17 (2,22,3)
To vertex 4:7 (2,4)
To vertex 5:20 (2,4,6,15,28,5)
To vertex 6:7 (2,4,6)
To vertex 7:22 (2,4,6,15,28,5,7)
To vertex 8:21 (2,8)
To vertex 9:17 (2,4,6,23,16,9)
To vertex 10:32 (2,4,6,15,28,5,10)
To vertex 11:2 (2,11)
To vertex 12:19 (2,4,6,15,28,12)
To vertex 13:21 (2,8,13)
To vertex 14:26 (2,4,6,14)
To vertex 15:12 (2,4,6,15)
To vertex 16:12 (2,4,6,23,16)
To vertex 17:23 (2,22,17)
To vertex 18:7 (2,22,18)
To vertex 19:8 (2,11,24,19)
To vertex 20:11 (2,11,24,19,31,20)
To vertex 21:14 (2,21)
To vertex 22:11 (2,22)
To vertex 23:9 (2,4,6,23)
To vertex 24:0 (2,11,24)
To vertex 25:33 (2,8,25)
To vertex 26:10 (2,11,24,19,26)
To vertex 27:16 (2,11,24,19,30,27)
To vertex 28:18 (2,4,6,15,28)
To vertex 29:20 (2,21,29)
To vertex 30:10 (2,11,24,19,30)
To vertex 31:4 (2,11,24,19,31)
From vertex 3:
To vertex 0:18 (3,28,5,7,0)
To vertex 1:26 (3,8,1)
To vertex 2:12 (3,28,5,15,2)
To vertex 4:9 (3,8,13,4)
To vertex 5:11 (3,28,5)
To vertex 6:9 (3,8,13,4,6)
To vertex 7:13 (3,28,5,7)
To vertex 8:8 (3,8)
To vertex 9:19 (3,8,13,4,6,23,16,9)
To vertex 10:23 (3,28,5,10)
To vertex 11:14 (3,28,5,15,2,11)
To vertex 12:10 (3,28,12)
To vertex 13:8 (3,8,13)
To vertex 14:28 (3,8,13,4,6,14)
To vertex 15:9 (3,28,5,15)
To vertex 16:14 (3,8,13,4,6,23,16)
To vertex 17:29 (3,28,5,26,31,20,22,17)
To vertex 18:13 (3,28,5,26,31,20,22,18)
To vertex 19:20 (3,28,5,15,2,11,24,19)
To vertex 20:17 (3,28,5,26,31,20)
To vertex 21:22 (3,28,5,7,0,21)
To vertex 22:17 (3,28,5,26,31,20,22)
To vertex 23:11 (3,8,13,4,6,23)
To vertex 24:12 (3,28,5,15,2,11,24)
To vertex 25:20 (3,8,25)
To vertex 26:12 (3,28,5,26)
To vertex 27:15 (3,28,12,27)
To vertex 28:9 (3,28)
To vertex 29:21 (3,28,12,27,29)
To vertex 30:22 (3,28,5,15,2,11,24,19,30)
To vertex 31:10 (3,28,5,26,31)
From vertex 4:
To vertex 0:18 (4,6,15,26,31,20,0)
To vertex 1:23 (4,6,23,16,9,1)
To vertex 2:8 (4,6,15,2)
To vertex 3:21 (4,6,15,26,31,20,22,3)
To vertex 5:13 (4,6,15,28,5)
To vertex 6:0 (4,6)
To vertex 7:15 (4,6,15,28,5,7)
To vertex 8:15 (4,6,15,8)
To vertex 9:10 (4,6,23,16,9)
To vertex 10:25 (4,6,15,28,5,10)
To vertex 11:10 (4,6,15,2,11)
To vertex 12:12 (4,6,15,28,12)
To vertex 13:15 (4,6,15,8,13)
To vertex 14:19 (4,6,14)
To vertex 15:5 (4,6,15)
To vertex 16:5 (4,6,23,16)
To vertex 17:23 (4,6,23,16,9,17)
To vertex 18:11 (4,6,15,26,31,20,22,18)
To vertex 19:16 (4,6,15,2,11,24,19)
To vertex 20:15 (4,6,15,26,31,20)
To vertex 21:22 (4,6,15,2,21)
To vertex 22:15 (4,6,15,26,31,20,22)
To vertex 23:2 (4,6,23)
To vertex 24:8 (4,6,15,2,11,24)
To vertex 25:27 (4,6,15,8,25)
To vertex 26:10 (4,6,15,26)
To vertex 27:17 (4,6,15,28,12,27)
To vertex 28:11 (4,6,15,28)
To vertex 29:23 (4,6,15,28,12,27,29)
To vertex 30:15 (4,6,23,30)
To vertex 31:8 (4,6,15,26,31)
From vertex 5:
To vertex 0:7 (5,7,0)
To vertex 1:26 (5,15,8,1)
To vertex 2:1 (5,15,2)
To vertex 3:12 (5,26,31,20,22,3)
To vertex 4:6 (5,26,31,20,22,18,4)
To vertex 6:6 (5,26,31,20,22,18,4,6)
To vertex 7:2 (5,7)
To vertex 8:8 (5,15,8)
To vertex 9:13 (5,9)
To vertex 10:12 (5,10)
