From vertex 0:
To vertex 1:88 (0,106,105,97,1)
To vertex 2:111 (0,106,14,115,71,96,74,2)
To vertex 3:82 (0,106,14,115,61,45,3)
To vertex 4:47 (0,106,105,97,4)
To vertex 5:75 (0,106,105,21,28,5)
To vertex 6:81 (0,39,66,30,94,6)
To vertex 7:72 (0,106,14,49,43,19,122,7)
To vertex 8:102 (0,106,14,49,23,8)
To vertex 9:90 (0,106,105,97,4,50,9)
To vertex 10:99 (0,106,105,21,28,5,10)
To vertex 11:76 (0,106,14,49,43,19,122,7,11)
To vertex 12:42 (0,106,14,49,43,12)
To vertex 13:126 (0,106,14,115,71,96,74,13)
To vertex 14:28 (0,106,14)
To vertex 15:112 (0,106,14,49,43,19,73,15)
To vertex 16:121 (0,106,14,77,62,16)
To vertex 17:89 (0,106,14,49,23,46,17)
To vertex 18:84 (0,106,14,18)
To vertex 19:42 (0,106,14,49,43,19)
To vertex 20:51 (0,106,105,97,20)
To vertex 21:39 (0,106,105,21)
To vertex 22:107 (0,106,14,49,43,19,122,7,11,38,126,22)
To vertex 23:62 (0,106,14,49,23)
To vertex 24:99 (0,106,14,49,43,12,67,118,24)
To vertex 25:50 (0,106,14,25)
To vertex 26:47 (0,106,14,26)
To vertex 27:84 (0,106,105,21,28,27)
To vertex 28:51 (0,106,105,21,28)
To vertex 29:63 (0,106,14,115,61,29)
To vertex 30:68 (0,39,66,30)
To vertex 31:105 (0,106,14,49,43,19,122,31)
To vertex 32:106 (0,106,105,97,4,50,32)
To vertex 33:99 (0,106,14,115,71,96,74,55,33)
To vertex 34:132 (0,106,34)
To vertex 35:103 (0,106,37,60,35)
To vertex 36:96 (0,106,14,49,43,19,122,36)
To vertex 37:46 (0,106,37)
To vertex 38:76 (0,106,14,49,43,19,122,7,11,38)
To vertex 39:48 (0,39)
To vertex 40:135 (0,39,66,40)
To vertex 41:140 (0,106,105,21,41)
To vertex 42:93 (0,106,14,49,23,113,42)
To vertex 43:24 (0,106,14,49,43)
To vertex 44:78 (0,106,14,49,43,19,122,7,44)
To vertex 45:64 (0,106,14,115,61,45)
To vertex 46:62 (0,106,14,49,23,46)
To vertex 47:143 (0,98,116,47)
To vertex 48:61 (0,106,14,26,123,48)
To vertex 49:29 (0,106,14,49)
To vertex 50:53 (0,106,105,97,4,50)
To vertex 51:60 (0,106,14,115,71,96,51)
To vertex 52:117 (0,106,37,60,52)
To vertex 53:90 (0,106,105,21,53)
To vertex 54:85 (0,106,14,49,43,19,122,7,11,38,54)
To vertex 55:83 (0,106,14,115,71,96,74,55)
To vertex 56:74 (0,106,105,97,4,56)
To vertex 57:88 (0,106,14,115,71,96,95,84,57)
To vertex 58:133 (0,106,14,49,43,19,122,7,58)
To vertex 59:84 (0,106,14,115,61,45,59)
To vertex 60:80 (0,106,37,60)
To vertex 61:48 (0,106,14,115,61)
To vertex 62:63 (0,106,14,77,62)
To vertex 63:68 (0,106,14,49,43,19,73,63)
To vertex 64:70 (0,106,14,26,123,48,100,64)
To vertex 65:75 (0,106,105,65)
To vertex 66:62 (0,39,66)
To vertex 67:85 (0,106,14,49,43,12,67)
To vertex 68:93 (0,106,105,97,4,50,68)
To vertex 69:108 (0,106,14,49,23,113,69)
To vertex 70:128 (0,106,105,97,20,70)
To vertex 71:35 (0,106,14,115,71)
To vertex 72:62 (0,106,14,25,72)
To vertex 73:59 (0,106,14,49,43,19,73)
To vertex 74:71 (0,106,14,115,71,96,74)
To vertex 75:100 (0,106,14,26,123,75)
To vertex 76:126 (0,106,14,49,43,76)
To vertex 77:40 (0,106,14,77)
To vertex 78:98 (0,106,14,115,61,45,121,78)
To vertex 79:47 (0,106,105,102,79)
To vertex 80:76 (0,106,105,102,79,80)
To vertex 81:110 (0,106,14,49,43,19,122,7,44,81)
To vertex 82:154 (0,106,14,26,123,48,100,82)
To vertex 83:73 (0,106,14,49,23,83)
To vertex 84:67 (0,106,14,115,71,96,95,84)
To vertex 85:94 (0,106,14,115,71,96,74,55,33,85)
To vertex 86:79 (0,106,105,97,4,50,104,86)
To vertex 87:66 (0,106,14,26,123,87)
To vertex 88:130 (0,106,105,21,28,27,88)
To vertex 89:145 (0,106,37,60,89)
To vertex 90:94 (0,106,14,77,62,93,90)
To vertex 91:100 (0,106,14,26,123,48,91)
To vertex 92:54 (0,106,14,26,123,92)
To vertex 93:76 (0,106,14,77,62,93)
To vertex 94:82 (0,39,66,30,94)
To vertex 95:66 (0,106,14,115,71,96,95)
To vertex 96:45 (0,106,14,115,71,96)
To vertex 97:39 (0,106,105,97)
To vertex 98:85 (0,98)
To vertex 99:100 (0,106,14,49,43,19,122,7,44,99)
To vertex 100:70 (0,106,14,26,123,48,100)
To vertex 101:105 (0,106,14,26,123,48,91,101)
To vertex 102:46 (0,106,105,102)
To vertex 103:249 (0,106,14,115,71,96,74,13,103)
To vertex 104:72 (0,106,105,97,4,50,104)
To vertex 105:28 (0,106,105)
To vertex 106:13 (0,106)
To vertex 107:53 (0,106,105,21,28,107)
To vertex 108:109 (0,106,14,26,123,92,108)
To vertex 109:58 (0,106,14,115,61,109)
To vertex 110:94 (0,106,105,65,110)
To vertex 111:119 (0,106,14,25,72,111)
To vertex 112:61 (0,106,105,112)
To vertex 113:98 (0,106,14,49,23,113)
To vertex 114:116 (0,106,14,49,114)
To vertex 115:28 (0,106,14,115)
To vertex 116:128 (0,98,116)
To vertex 117:105 (0,106,14,77,62,127,117)
To vertex 118:99 (0,106,14,49,43,12,67,118)
To vertex 119:119 (0,106,14,18,119)
To vertex 120:83 (0,106,14,49,120)
To vertex 121:77 (0,106,14,115,61,45,121)
To vertex 122:53 (0,106,14,49,43,19,122)
To vertex 123:52 (0,106,14,26,123)
To vertex 124:89 (0,106,14,49,43,19,122,7,11,38,126,124)
To vertex 125:97 (0,106,14,49,23,83,125)
To vertex 126:80 (0,106,14,49,43,19,122,7,11,38,126)
To vertex 127:98 (0,106,14,77,62,127)
From vertex 1:
To vertex 0:119 (1,122,0)
To vertex 2:129 (1,37,115,71,96,74,2)
To vertex 3:100 (1,37,115,61,45,3)
To vertex 4:83 (1,4)
To vertex 5:97 (1,122,28,5)
To vertex 6:108 (1,37,115,94,6)
To vertex 7:90 (1,122,7)
To vertex 8:115 (1,63,99,8)
To vertex 9:87 (1,9)
To vertex 10:121 (1,122,28,5,10)
To vertex 11:94 (1,122,7,11)
To vertex 12:101 (1,43,12)
To vertex 13:121 (1,37,60,52,13)
To vertex 14:91 (1,37,60,35,27,14)
To vertex 15:138 (1,37,115,61,15)
To vertex 16:150 (1,37,115,61,45,121,16)
