141,70 -2
81,197 -2
253,40 -8
0,55 -2
21,200 -8
179,144 -2
164,56 -3
243,179 -4
12,208 41
31,11 34
197,169 151
230,4 220
218,35 80
206,141 217
106,95 141
177,157 178
40,198 233
58,171 166
219,128 227
108,52 22
222,254 96
27,57 7
161,113 38
112,190 163
39,80 98
106,76 184
134,215 35
88,111 56
107,130 220
96,57 183
147,149 230
251,190 240
82,152 252
118,150 65
16,211 189
115,95 42
199,214 46
102,56 210
134,244 53
25,70 130
241,195 31
40,51 39
191,158 27
133,170 212
58,36 188
245,220 62
195,182 123
145,254 63
76,252 51
70,200 84
220,96 163
86,248 30
14,145 240
213,205 229
146,2 32
44,141 16
170,105 160
153,0 174
174,64 191
173,242 241
137,71 49
205,180 173
58,0 140
178,156 221
85,50 206
233,128 31
127,103 214
83,63 51
245,110 230
166,57 128
5,218 40
235,210 143
147,128 38
254,243 142
149,253 79
17,136 206
152,45 121
40,3 69
57,181 90
158,216 12
173,123 14
159,255 226
58,41 148
173,117 168
187,173 81
27,187 228
31,188 139
149,85 62
235,74 239
150,76 5
179,19 12
239,173 171
165,22 214
71,8 68
255,20 36
150,242 12
148,22 50
169,131 222
75,228 31
161,217 190
160,143 112
116,147 79
33,232 139
106,87 93
242,6 61
161,76 85
73,196 53
137,160 200
242,64 135
105,4 236
204,94 42
217,43 27
75,67 122
69,78 82
244,218 182
113,171 179
228,82 131
239,2 3
74,158 104
170,22 45
232,244 79
95,50 189
150,79 10
31,162 102
190,237 204
206,53 125
225,209 172
167,194 123
17,66 38
181,159 126
117,74 154
91,43 201
200,56 202
206,70 64
218,31 96
150,212 237
13,85 102
17,62 126
217,244 204
239,241 196
74,92 230
182,221 53
125,175 235
64,247 107
38,84 119
57,183 163
12,117 9
161,154 63
139,129 134
80,161 68
17,170 181
109,209 221
162,103 193
245,177 214
85,244 186
59,207 34
212,205 20
98,59 86
224,55 38
228,10 43
202,184 172
15,213 0
251,153 69
131,55 85
109,107 246
181,82 81
48,127 166
111,75 61
230,108 160
77,202 7
71,142 20
66,123 192
158,129 150
17,143 31
74,170 157
212,60 251
62,174 5
121,56 213
129,248 141
63,66 76
175,56 90
62,154 166
118,223 115
220,132 78
25,164 67
89,201 80
241,2 26
68,53 223
231,183 172
3,26 208
251,70 144
79,203 28
193,118 194
182,35 98
222,209 34
23,252 98
143,39 243
41,184 131
35,8 92
245,187 79
124,77 234
87,238 242
146,144 13
129,62 190
239,175 150
121,27 169
52,77 64
150,250 205
147,81 36
6,211 231
83,101 66
74,163 217
79,120 255
184,235 41
119,60 162
249,48 128
78,169 214
137,121 43
106,120 43
58,213 157
247,169 149
177,210 235
52,254 235
231,6 78
244,126 106
169,138 165
31,242 47
25,121 241
46,107 192
43,118 215
179,186 132
40,35 33
207,247 70
46,171 61
185,251 182
174,58 188
62,230 232
237,127 213
59,153 211
132,49 224
37,61 212
224,134 219
130,186 40
194,189 232
109,65 117
192,150 205
21,195 66
195,213 115
63,119 122
135,195 103
192,88 238
29,173 92
4,165 207
108,99 167
138,95 56
172,185 193
101,206 162
234,10 201
188,253 110
135,176 0
74,57 95
185,141 75
224,150 29
8,133 180
222,106 179
210,1 234
190,207 17
200,110 188
137,38 139
111,189 161
95,143 88
159,225 51
244,114 21
7,83 176
13,249 63
167,145 120
7,147 188
85,154 146
81,115 83
57,115 39
237,14 47
81,166 4
243,161 97
238,190 28
14,169 91
52,205 4
252,105 117
158,230 118
18,104 107
120,163 207
182,240 221
99,159 144
228,143 206
212,253 224
170,154 38
149,224 9
171,165 48
67,241 247
159,13 29
207,220 188
209,110 127
253,211 15
161,45 206
232,9 200
0,240 231
123,56 102
246,32 135
249,29 137
31,110 212
119,246 120
41,75 213
93,11 155
232,34 2
3,83 133
171,9 221
20,182 55
9,16 2
140,28 164
189,139 107
253,74 198
82,85 181
13,204 126
171,72 162
250,111 15
125,198 151
16,199 161
207,52 30
53,170 191
129,121 101
94,179 218
194,131 190
23,192 196
153,194 30
255,117 53
93,171 158
73,183 73
61,55 252
60,49 0
184,98 27
180,210 190
38,172 126
159,77 200
45,155 209
129,152 205
77,55 97
240,110 90
85,140 159
24,205 100
235,43 161
57,120 195
9,170 161
36,118 177
122,32 124
194,145 79
97,170 52
141,216 32
178,232 110
20,29 140
183,128 245
124,120 95
140,154 53
249,194 71
163,99 193
89,27 89
65,139 205
122,101 141
255,198 180
207,199 61
75,79 116
223,43 170
228,96 45
197,191 120
97,187 166
177,120 45
171,36 200
102,138 181
126,228 33
186,241 225
236,72 98
25,236 227
218,32 225
2,125 211
129,65 24
137,234 46
239,4 36
211,63 82
131,196 71
157,201 3
116,99 103
181,156 233
75,198 140
127,15 16
100,85 101
114,59 102
113,124 196
153,127 64
247,44 30
18,255 214
207,90 12
146,32 194
166,127 205
223,13 133
125,23 193
84,53 3
42,34 239
97,203 2
214,166 128
8,69 174
125,43 66
97,222 24
113,62 38
23,20 178
214,238 194
233,43 213
39,82 208
42,168 59
176,1 173
65,214 133
19,152 219
42,68 183
195,56 128
243,69 183
140,5 229
64,110 209
9,168 247
200,28 54
44,206 201
213,236 120
185,167 15
199,65 16
203,103 165
146,194 216
78,201 6
59,217 145
131,135 214
96,53 95
128,227 89
173,72 72
173,33 249
103,202 184
72,11 196
229,52 0
226,108 235
18,70 210
223,149 69
